IMDB_titleID,IMDB_rating,IMDB_title_name
/title/tt4922804/,"7.4 based on 22,005 user ratings", 3% (2016) (TV Series) 
/title/tt5979312/,6.0 based on 574 user ratings, 7:19 (2016) 
/title/tt2100376/,4.6 based on 853 user ratings, 23:59 (2011) 
NaN,NaN,NaN
/title/tt0478087/,"6.8 based on 230,888 user ratings", 21 (2008) 
/title/tt7262082/,7.2 based on 12 user ratings, 46 (2017) (Short) 
/title/tt7867670/,"6.8 based on 3,893 user ratings", 122 (2019) 
/title/tt0118531/,"6.7 based on 22,263 user ratings"," One Eight Seven (1997) aka ""Код 187"" "
/title/tt9390026/,5.3 based on 417 user ratings, 706 (2019) 
/title/tt1301698/,"6.4 based on 2,978 user ratings", 1920 (2008) 
/title/tt6214928/,"6.3 based on 54,101 user ratings", 1922 (2017) 
/title/tt7371666/,"6.8 based on 3,716 user ratings", 1983 (2018) (TV Series) 
/title/tt8736278/,7.3 based on 613 user ratings, 1994 (II) (2019) (TV Series) 
/title/tt8891536/,7.8 based on 273 user ratings," 2,215 (2018) "
/title/tt9465600/,"4.6 based on 3,959 user ratings", 3022 (2019) 
NaN,NaN,NaN
NaN,NaN,NaM
/title/tt7280898/,"6.8 based on 28,939 user ratings", 22 July (2018) 
/title/tt9817300/,5.9 based on 224 user ratings, 15 August (2019) 
NaN,NaN,NaN
/title/tt7617988/,7.5 based on 762 user ratings, Kuchh Bheege Alfaaz (2018) 
/title/tt8011288/,7.3 based on 666 user ratings, Goli Soda 2 (2018) 
/title/tt8914956/,7.3 based on 34 user ratings, Maj Rati Keteki (2017) 
/title/tt7570242/,7.1 based on 361 user ratings, Mayurakshi (2017) 
/title/tt6908976/,"4.5 based on 1,629 user ratings", Seinto Seiya: Knights of the Zodiac (2019) (TV Series) 
/title/tt4370922/,6.6 based on 784 user ratings, (T)ERROR (2015) 
/title/tt12759384/,6.4 based on 811 user ratings, (Un)Well (2020) (TV Series) 
/title/tt10620868/,"6.2 based on 26,375 user ratings"," #Saraitda (2020) aka ""#Alive"" "
/title/tt9850370/,"6.4 based on 1,150 user ratings", #AnneFrank - Parallel Stories (2019) 
/title/tt10311562/,"6.8 based on 3,878 user ratings", #BlackAF (2020) (TV Series) 
/title/tt11642302/,5.3 based on 392 user ratings, #cats_the_mewvie (2020) 
/title/tt8076266/,6.9 based on 559 user ratings," #TemanTapiMenikah (2018) aka ""#FriendButMarried"" "
/title/tt11640412/,6.8 based on 199 user ratings," #TemanTapiMenikah2 (2020) aka ""#FriendButMarried 2"" "
/title/tt6119504/,"5.2 based on 5,692 user ratings", #Realityhigh (2017) 
/title/tt5646082/,5.1 based on 258 user ratings, #Roxy (2018) 
/title/tt6475636/,5.3 based on 99 user ratings, #Rucker50 (2016) 
/title/tt3102208/,"6.1 based on 1,545 user ratings"," Selfie (I) (2014) aka ""#Selfie"" "
/title/tt4796634/,"6.2 based on 1,530 user ratings"," Selfie 69 (2016) aka ""#Selfie 69"" "
NaN,NaN,NaM
/title/tt6213294/,3.8 based on 304 user ratings," ¡Ay, mi madre! (2019) "
/title/tt4324242/,"5.2 based on 1,754 user ratings", Çarsi Pazar (2015) 
/title/tt4966532/,"6.1 based on 4,461 user ratings", Ég man þig (2017) 
/title/tt1640202/,"4.4 based on 4,490 user ratings", Çok Filim Hareketler Bunlar (2010) 
NaN,NaN,NaN
/title/tt0402022/,"5.5 based on 124,334 user ratings", Æon Flux (2005) 
/title/tt2184287/,"5.6 based on 3,896 user ratings"," Summer in February (2013) aka ""Şubat Ayında Yaz"" "
/title/tt2388856/,4.8 based on 525 user ratings, 1 Chance 2 Dance (2014) 
/title/tt2184233/,"6.3 based on 2,317 user ratings", 1 Mile to You (2017) 
/title/tt10499474/,5.3 based on 45 user ratings, 10 Days in Sun City (2017) 
/title/tt1729630/,5.9 based on 870 user ratings, 10 jours en or (2012) 
NaN,NaN,NaN
/title/tt8199972/,"7.5 based on 1,000 user ratings"," Baekilui Nanggoonnim (2018) (TV Series) aka ""100 Days My Prince"" "
/title/tt8777272/,NaN, Days of Solitude (2018) 
/title/tt11823088/,"5.7 based on 3,178 user ratings", 100 Humans (2020) (TV Series) 
/title/tt5089786/,"7.6 based on 5,432 user ratings"," 100 metros (2016) aka ""100 Meters"" "
/title/tt3904078/,6.2 based on 987 user ratings, 100 Things to Do Before High School (2014) (TV Series) 
NaN,NaN,NaN
/title/tt11799742/,6.7 based on 34 user ratings, 100% Halal (2020) 
/title/tt5819414/,4.4 based on 855 user ratings, 100% Hotter (2016) (TV Series) 
/title/tt2937158/,7.3 based on 419 user ratings," Ek Hazarachi Note (2014) aka ""1000 Rupee Note"" "
/title/tt3396208/,4.7 based on 203 user ratings, 12 Round Gun (2017) 
/title/tt5476252/,7.3 based on 162 user ratings," Dalrae Doen, Jang-guk: Yisimnyeonmanui Jaehoe (2014) (TV Series) aka ""12 Years Promise"" "
/title/tt4392454/,"5.1 based on 4,898 user ratings"," Slumlord (2015) aka ""13 Cameras"" "
/title/tt1837492/,"7.6 based on 257,778 user ratings", 13 Reasons Why (2017) (TV Series) 
/title/tt8615966/,6.5 based on 239 user ratings, 13 Reasons Why: Beyond the Reasons (2017) (TV Series) 
/title/tt2059171/,"6.3 based on 33,960 user ratings", 13 Sins (2014) 
/title/tt5895028/,"8.3 based on 32,350 user ratings", 13th (2016) 
/title/tt6491068/,7.1 based on 178 user ratings, 13th: A Conversation with Oprah Winfrey & Ava DuVernay (2017) (Video) 
/title/tt1442571/,"6.3 based on 7,609 user ratings"," Jin yi wei (2010) aka ""14 Blades"" "
NaN,NaN,NaN
/title/tt5626716/,5.6 based on 142 user ratings, 14 Minutes from Earth (2016) 
/title/tt0450232/,"6.6 based on 126,469 user ratings", 16 Blocks (2006) 
/title/tt0974661/,"6.4 based on 182,363 user ratings", 17 Again (2009) 
/title/tt10816484/,"6.7 based on 2,952 user ratings"," 18 regali (2020) aka ""18 Presents"" "
/title/tt5698568/,"6.5 based on 2,916 user ratings"," 1898. Los últimos de Filipinas (2016) aka ""1898: Our Last Men in the Philippines"" "
/title/tt7541106/,"5.8 based on 9,174 user ratings", 1BR (2019) 
/title/tt8142044/,3.3 based on 824 user ratings, 1st Summoning (2018) 
/title/tt1077097/,"5.4 based on 2,291 user ratings"," Seuls Two (2008) aka ""2 Alone in Paris"" "
/title/tt2372678/,"6.9 based on 23,585 user ratings", 2 States (2014) 
/title/tt2396566/,"7.4 based on 12,411 user ratings"," Twenty Feet from Stardom (2013) aka ""20 Feet from Stardom"" "
/title/tt2544148/,"6.9 based on 1,516 user ratings"," 20 Dakika (2013) (TV Series) aka ""20 Minutes"" "
/title/tt6959400/,6.2 based on 19 user ratings, 2015 Dream Concert (2015) (TV Special) 
/title/tt4575328/,"4.4 based on 7,541 user ratings", 2036 Origin Unknown (2018) 
/title/tt4385888/,"7.3 based on 40,656 user ratings", 20th Century Women (2016) 
/title/tt1711425/,"5.8 based on 72,207 user ratings", 21 & Over (2013) 
/title/tt9315008/,5.1 based on 31 user ratings, 21 Again (2019) (TV Series) 
/title/tt8062474/,8.3 based on 351 user ratings, 21 Sarfarosh Saragarhi 1897 (2018) (TV Series) 
/title/tt6145878/,6.2 based on 945 user ratings, 21 Thunder (2017) (TV Series) 
/title/tt4261326/,"3.8 based on 1,512 user ratings", 2307: Winter's Dream (2016) 
/title/tt5442456/,"5.8 based on 12,631 user ratings", 24 Hours to Live (2017) 
/title/tt5743858/,5.9 based on 92 user ratings, 25 Kille (2016) 
/title/tt2551894/,6.3 based on 937 user ratings," 26 nyeon (2012) aka ""26 Years"" "
/title/tt7319532/,3.6 based on 358 user ratings, 27: El club de los malditos (2018) 
NaN,NaN,NaN
/title/tt0191754/,"6.1 based on 45,519 user ratings", 28 Days (2000) 
/title/tt10145322/,5.9 based on 9 user ratings," 28 Hae Eui Dal (2016) (TV Mini-Series) aka ""28 Moons"" "
/title/tt2172934/,"6.2 based on 88,333 user ratings", 3 Days to Kill (2014) 
/title/tt0338490/,"7.8 based on 2,291 user ratings", 3 Deewarein (2003) 
/title/tt4158624/,"5.9 based on 6,076 user ratings", 3 Generations (2015) 
